Nom_RP;Codi_RP;Nom_ABP;Títol Codi Penal;Tipus de fet;Contra els recursos naturals i el medi ambient;Protecció de la flora, fauna i animals domèstics;Contra el patrimoni històric;TOTAL;total_total
 Girona;RP01;Alt Empordà-Figueres;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra els recursos naturals i el medi ambient;3;12;1;16;656
 Girona;RP01;Alt Empordà-Figueres;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Alt Empordà-Figueres;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Baix Empordà - La Bisbal;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Baix Empordà - La Bisbal;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Baix Empordà - Sant Feliu;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Baix Empordà - Sant Feliu;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Baix Empordà - Sant Feliu;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Gironès - Pla de l'Estany;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra el patrimoni històric;3;12;1;16;656
 Girona;RP01;Gironès - Pla de l'Estany;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Gironès - Pla de l'Estany;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra els recursos naturals i el medi ambient;3;12;1;16;656
 Girona;RP01;Gironès - Pla de l'Estany;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Ripollès;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Selva Interior;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Selva Litoral;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;3;12;1;16;656
 Girona;RP01;Selva Litoral;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra els recursos naturals i el medi ambient;3;12;1;16;656
 Ponent;RP02;Noguera;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Contra el patrimoni històric;0;2;3;5;656
